"","latitude","longitude","time"
"1","18.4433","-119.5114",2019-03-10 22:33:04
"2","18.4433","-119.5114",2019-03-10 22:34:46
"3","18.4433","-119.5114",2019-03-10 22:36:29
"4","18.4433","-119.5114",2019-03-10 22:38:11
"5","18.4433","-119.5114",2019-03-10 22:39:54
"6","18.4433","-119.5114",2019-03-11 06:27:37
"7","18.4433","-119.5114",2019-03-11 06:29:18
"8","18.4433","-119.5114",2019-03-11 06:31:00
"9","18.4433","-119.5114",2019-03-11 06:32:42
"10","18.4433","-119.5114",2019-03-11 06:34:23
